Price,Close,High,Low,Open,Volume
Ticker,EGIE3.SA,EGIE3.SA,EGIE3.SA,EGIE3.SA,EGIE3.SA
Date,,,,,
2010-03-16,6.631998538970947,6.670896163066126,6.609308515855743,6.6644129681099455,1050500
2010-03-17,6.6644134521484375,6.6708966475754945,6.612550207195005,6.644964638688275,945250
2010-03-18,6.657928466796875,6.680619258280854,6.6190316231546245,6.670894854165091,1162375
2010-03-19,6.612550735473633,6.680621588022404,6.567170682321831,6.635240762049533,546875
2010-03-22,6.596343517303467,6.612550346982205,6.521790246010815,6.612550346982205,360625
2010-03-23,6.547720432281494,6.609308075387453,6.525030410678435,6.606066864535844,567125
2010-03-24,6.482891082763672,6.560685547001867,6.482891082763672,6.482891082763672,638125
2010-03-25,6.563929557800293,6.573653965436209,6.482893085108011,6.499100688774899,804125
2010-03-26,6.557444095611572,6.563927289402045,6.4828908447147855,6.563927289402045,269875
2010-03-29,6.518550872802734,6.557448516125669,6.495860838471467,6.557448516125669,345250
2010-03-30,6.531513690948486,6.531513690948486,6.482891663431549,6.531513690948486,439500
2010-03-31,6.479650974273682,6.525031410846238,6.379166467083287,6.518548215328367,1233750
2010-04-01,6.5055832862854,6.508824497977186,6.421305599730166,6.508824497977186,1353375
2010-04-05,6.4990973472595215,6.5217873624702145,6.469924139351195,6.518545379711057,1958125
2010-04-06,6.580135822296143,6.580135822296143,6.482892527127748,6.499100129399653,451250
2010-04-07,6.628757476806641,6.628757476806641,6.512065374720773,6.5801354455954595,633625
2010-04-08,6.641722202301025,6.661171012173801,6.563927735630787,6.563927735630787,933
2010-04-09,6.644965171813965,6.700069632491454,6.593101922699542,6.622275145230355,747625
2010-04-12,6.612550735473633,6.722759656791171,6.596343904842733,6.612550735473633,418750
2010-04-13,6.7227606773376465,6.7227606773376465,6.580137300286346,6.706553844246474,757250
2010-04-14,6.758415699005127,6.803795749630548,6.631999181273433,6.687103638864448,701625
2010-04-15,6.768138885498047,6.787587695922104,6.709792454225873,6.787587695922104,563750
2010-04-16,6.700066566467285,6.761654194908801,6.664410937126745,6.761654194908801,331125
2010-04-19,6.820003986358643,6.862142829520947,6.635241009652649,6.6384829941566625,793125
2010-04-20,6.888072967529297,6.897797373844642,6.77138086456612,6.807036505841739,662375
2010-04-22,7.1992506980896,7.202491908825305,6.80703560469702,6.904279654976893,2533875
2010-04-23,7.257596492767334,7.325666549182018,7.059867971606275,7.1765600489034505,1415125
2010-04-26,7.131181240081787,7.283528977063598,7.0987668115149996,7.2478733374864115,1121625
2010-04-27,7.082560062408447,7.160355318579373,6.998282383437298,7.095525680829925,475250
2010-04-28,7.131181240081787,7.150630051786048,7.017730353687561,7.076076788800342,597250
2010-04-29,7.228426933288574,7.306221433194984,7.085803554656622,7.085803554656622,506000
2010-04-30,7.179802417755127,7.257597663718711,7.134422372823654,7.196010018271183,408875
2010-05-03,7.069594860076904,7.228425820346035,7.069594860076904,7.13118251723003,903
2010-05-04,7.098767280578613,7.179802970939692,6.871865492797223,7.069594061094551,816375
2010-05-05,7.1571125984191895,7.1798026215289035,6.907521571391391,6.9723504296537016,813625
2010-05-06,6.98531436920166,7.144145265646977,6.9204855265081555,7.105247650902568,588625
2010-05-07,6.928417682647705,7.039272104381299,6.84690657544225,6.980584697977493,552500
2010-05-10,6.977325439453125,7.153388459656271,6.872991394782118,7.019711096516494,402500
2010-05-11,7.003407001495361,7.003407001495361,6.886031421730218,6.970802716968791,219250
2010-05-12,7.075139045715332,7.075139045715332,6.9447218650778035,6.977326160237186,481000
2010-05-13,7.068617820739746,7.075138990659964,6.954502399896044,6.987106694801715,318000
2010-05-14,6.9871063232421875,7.081659006644834,6.892554417187207,7.042534321247222,822250
2010-05-17,6.993626594543457,7.013189323403429,6.866469634301202,6.98710542580761,447375
2010-05-18,6.954504489898682,7.036015640332853,6.9023382242505065,7.036015640332853,341625
2010-05-19,6.941460609436035,6.974064903270935,6.755616212311871,6.944721582962902,662375
2010-05-20,6.5893330574035645,6.846907184063726,6.5893330574035645,6.846907184063726,1804125
2010-05-21,6.605636119842529,6.771917780530225,6.559990265224064,6.648021778373294,714375
2010-05-24,6.677366733551025,6.736054157411963,6.602376772460641,6.651282829453462,146875
2010-05-25,6.618678569793701,6.638241303640629,6.432834152943424,6.520865677906831,595625
2010-05-26,6.693666458129883,6.693666458129883,6.576290868749935,6.576290868749935,620875
2010-05-27,6.70344877243042,6.706708968408123,6.612157066273639,6.683886041868928,495750
2010-05-28,6.631718635559082,6.69692721542386,6.57629142040878,6.69692721542386,555875
2010-05-31,6.729531764984131,6.729531764984131,6.579551870039343,6.664323182603582,408125
2010-06-01,6.501303195953369,6.670845859398661,6.501303195953369,6.618678826234895,398875
2010-06-02,6.471957683563232,6.5958540613794705,6.387186375406388,6.5110827532226265,582875
2010-06-04,6.520866394042969,6.602377534907646,6.413272123416391,6.602377534907646,612000
2010-06-07,6.651281833648682,6.66432339507105,6.530646030133398,6.540427395537085,788500
2010-06-08,6.732792854309082,6.755615780800944,6.631719005733546,6.716490319759106,754500
2010-06-09,6.781697750091553,6.850167295272083,6.667583137036503,6.7719163864943335,884250
2010-06-10,6.830605983734131,6.83712637591864,6.719751543120853,6.83712637591864,237375
2010-06-11,6.781697750091553,6.824083399897,6.700187423244731,6.824083399897,249250
2010-06-14,6.794739723205566,6.908854330160041,6.709968428126551,6.752354075666059,285125
2010-06-15,6.908856391906738,6.931679320108471,6.771918045348654,6.843647803516735,486000
2010-06-16,6.830605983734131,6.872991642324089,6.749094862646469,6.859950080607408,484375
2010-06-17,6.749094009399414,6.941459546780744,6.723010889263584,6.879511164773692,856750
2010-06-18,6.683885097503662,7.0066677741194425,6.661062174189115,6.814302246356803,805
2010-06-21,6.8077826499938965,6.879511623827519,6.775178358974718,6.863209866991737,258875
2010-06-22,6.729531764984131,6.863209903007591,6.729531764984131,6.7523554684301805,524500
2010-06-23,6.732792854309082,6.778438707292804,6.6708444667753835,6.778438707292804,458375
2010-06-24,6.716488361358643,6.7751765358090426,6.58933142739685,6.745832448583842,622000
2010-06-25,6.830605983734131,6.830605983734131,6.648021787657617,6.752355836086386,330000
2010-06-28,6.798000335693359,6.837125013044508,6.749093517320041,6.814302090252794,481375
2010-06-29,6.912117004394531,7.006669696458648,6.706709860860892,6.8045227493365426,1505875
2010-06-30,6.908856391906738,6.957763221873087,6.742574724716536,6.87951229392693,1075875
2010-07-01,6.934940338134766,7.022971855290916,6.762136722710864,6.912116632439009,962750
2010-07-02,7.075139045715332,7.1533891986283065,6.934940498795218,6.977326160237186,1075125
2010-07-05,7.12078332901001,7.140346057249715,6.9805848130888455,7.013189101039173,296000
2010-07-06,7.143604755401611,7.3327100522818816,7.124042031262635,7.1664276744479585,1117375
2010-07-07,7.172951698303223,7.2381602865048045,7.10774311010164,7.140347404202432,793625
2010-07-08,7.176210880279541,7.205554974027295,7.000147872488173,7.205554974027295,1111000
2010-07-12,7.075139045715332,7.2055562263528605,7.019711821679154,7.172951931193478,302375
2010-07-13,7.205554962158203,7.205554962158203,7.049053906442217,7.1729506727191525,605250
2010-07-14,7.107743263244629,7.228379076281998,7.0131905751108015,7.172951852851191,522875
2010-07-15,7.0947041511535645,7.153391591129789,7.019714169471294,7.140350024173736,448875
2010-07-16,7.22185754776001,7.22185754776001,7.049054716148874,7.049054716148874,727375
2010-07-19,7.270762920379639,7.296846038765306,7.114261878023107,7.140345773756284,476000
2010-07-20,7.238160610198975,7.332713300524019,7.172952019081231,7.270764905757846,620500
2010-07-21,7.303367614746094,7.352274436133832,7.199033580683957,7.264242157635904,289875
2010-07-22,7.547900199890137,7.547900199890137,7.287065113597842,7.306627842238209,571625
2010-07-23,7.410964012145996,7.472912411574414,7.319671511301835,7.469651437629699,369375
2010-07-26,7.407702445983887,7.498994152601896,7.335972692678567,7.368576984663233,339000
2010-07-27,7.433786392211914,7.564203574599325,7.355536238249012,7.401182096615061,498500
2010-07-28,7.417485237121582,7.508776961287914,7.362057230480266,7.463131099204748,291500
2010-07-29,7.401182174682617,7.466390766564142,7.384880415386102,7.433786470623379,287250
2010-07-30,7.450090408325195,7.64571622075899,7.290329094966566,7.368579264470508,1011875
2010-08-02,7.626150608062744,7.658754897839273,7.502254617850967,7.547900468068591,466875
2010-08-03,7.678318977355957,7.678318977355956,7.512036526112686,7.531599258888097,421875
2010-08-04,7.564201831817627,7.671796060232451,7.52507715252431,7.671796060232451,510750
